sep=,
"Start date","End date",Country,ISO,Location,Latitude,Longitude,"Magnitude value","Magnitude scale","Disaster type","Disaster subtype","Associated disaster","Total deaths","Total affected","Total damage ('000 US$)","Disaster name","Disaster No."
18/09/2017,19/09/2017,Dominica,DMA,"All island",,,260,Kph,Storm,"Tropical cyclone",Flood,64,71393,380490,"Hurricane 'Maria'",2017-0383
03/09/1930,03/09/1930,"Dominican Republic (the)",DOM,"Santo Domingo",,,,Kph,Storm,"Tropical cyclone",--,2000,12000,40000,"San Zenon",1930-0009
/08/1946,/08/1946,"Dominican Republic (the)",DOM,,,,,Richter,Earthquake,"Ground movement",--,73,0,0,,1946-0021
02/10/1963,02/10/1963,"Dominican Republic (the)",DOM,,,,,Kph,Storm,"Tropical cyclone",--,400,0,60000,Flora,1963-0027
24/08/1964,24/08/1964,"Dominican Republic (the)",DOM," Barahona, Neiba Bay",,,,Kph,Storm,"Tropical cyclone",--,7,0,1000,Cleo,1964-0048
19/04/1965,19/04/1965,"Dominican Republic (the)",DOM,"Pico Duarte",,,,Km2,Wildfire,"Forest fire",--,0,0,1000,,1965-0022
29/09/1966,29/09/1966,"Dominican Republic (the)",DOM,"South East coast, Barhona",,,,Kph,Storm,"Tropical cyclone",--,74,12942,5000,Inez,1966-0074
/08/1968,//1968,"Dominican Republic (the)",DOM,Nationwide,,,,Km2,Drought,Drought,--,0,240000,5000,,1968-9009
//1978,//1978,"Dominican Republic (the)",DOM,,,,,Vaccinated,Epidemic,"Viral disease",--,0,0,0,"Swine fever",1978-0156
27/04/1979,27/04/1979,"Dominican Republic (the)",DOM,"North, Northeast",,,,Km2,Flood,--,--,32,1000,0,,1979-0042
/08/1979,/08/1979,"Dominican Republic (the)",DOM,Countrywide,,,,Kph,Storm,"Tropical cyclone",--,1400,1554000,150000,"David & Frederick",1979-0070
04/08/1980,04/08/1980,"Dominican Republic (the)",DOM,,,,270,Kph,Storm,"Tropical cyclone",--,7,0,47000,Allen,1980-0231
/05/1981,/05/1981,"Dominican Republic (the)",DOM,,,,,Km2,Flood,--,--,20,150000,0,,1981-0047
12/02/1983,12/02/1983,"Dominican Republic (the)",DOM,"South-East of Constanza",,,,Km2,Wildfire,"Forest fire",--,0,0,0,,1983-0044
14/09/1985,14/09/1985,"Dominican Republic (the)",DOM,,,,7760,Km2,Flood,"Riverine flood",--,12,895,0,,1985-0014
/06/1986,/06/1986,"Dominican Republic (the)",DOM,,,,,Kph,Storm,--,--,12,2000,0,,1986-0068
22/09/1987,22/09/1987,"Dominican Republic (the)",DOM,"Barahona-Bari, Montecristi areas",,,,Kph,Storm,"Tropical cyclone",--,3,0,23700,Emily,1987-0161
24/08/1988,24/08/1988,"Dominican Republic (the)",DOM,"North, South-East",,,,Km2,Flood,--,--,0,1191150,0,,1988-0385
17/09/1989,17/09/1989,"Dominican Republic (the)",DOM,,,,,Kph,Storm,"Tropical cyclone",--,0,0,0,Hugo,1989-0115
22/04/1991,22/04/1991,"Dominican Republic (the)",DOM,"San Pedro de Macoris",,,,Km2,Flood,--,--,10,0,0,,1991-0143
15/03/1992,15/03/1992,"Dominican Republic (the)",DOM,Moca,,,,Vaccinated,Epidemic,"Bacterial disease",--,20,0,0,Typhus,1992-0402
21/05/1993,21/05/1993,"Dominican Republic (the)",DOM,"N.Cent. Cibao Valley",,,,Km2,Flood,"Riverine flood",--,12,20000,0,,1993-0161
/01/1993,/01/1993,"Dominican Republic (the)",DOM,,,,,Km2,Flood,--,--,18,0,0,,1993-0525
17/08/1995,17/08/1995,"Dominican Republic (the)",DOM,"Southern Provinces, Santo Domingo",,,,Kph,Storm,--,--,9,2500,0,,1995-0181
07/10/1995,07/10/1995,"Dominican Republic (the)",DOM,"San Cristobal",,,,Kph,Storm,"Convective storm",--,2,330,0,,1995-0250
/01/1995,/01/1995,"Dominican Republic (the)",DOM,,,,,Vaccinated,Epidemic,"Viral disease",--,2,1252,0,"Dengue fever",1995-0310
03/09/1996,16/09/1996,"Dominican Republic (the)",DOM,Samana,,,,Kph,Storm,"Tropical cyclone",Surge,24,25000,0,Hortense,1996-0201
22/10/1996,22/10/1996,"Dominican Republic (the)",DOM,"Santiago City",,,,Km2,Flood,--,--,3,1000,0,,1996-0273
20/09/1998,30/09/1998,"Dominican Republic (the)",DOM,"La Romana, La Altagracia, San Pedro de Macoris, Barohona, Bahoruco, Azua provinces   National district",,,210,Kph,Storm,"Tropical cyclone",--,347,975595,1981500,Georges,1998-0295
/06/1999,/06/1999,"Dominican Republic (the)",DOM,"Puerto Plata, Santo Domingo",,,,Vaccinated,Epidemic,"Viral disease",--,16,0,0,Influenza,1999-0475
04/10/2001,09/10/2001,"Dominican Republic (the)",DOM,"Santo Domingo province",,,,Kph,Storm,"Tropical cyclone",--,3,0,10,Iris,2001-0570
24/05/2002,07/06/2002,"Dominican Republic (the)",DOM,"San Pedro de Macoris district (San Pedro de Macoris province)",,,0,Km2,Flood,--,--,3,1750,500,,2002-0840
16/04/2003,22/04/2003,"Dominican Republic (the)",DOM,"Maria Trinidad Sanches province",,,,Km2,Flood,"Riverine flood",--,1,460,2100,,2003-0238
22/09/2003,22/09/2003,"Dominican Republic (the)",DOM,"Puerto Plata district (Puerto Plata province), San Francisco de Macoris district (Duarte province), Santiago district (Santiago province), Nagua district (Maria Trinidad Sanches province)",19.777,-70.673,6.4,Richter,Earthquake,"Ground movement","Slide (land, mud, sn",3,2015,0,,2003-0477
14/11/2003,14/11/2003,"Dominican Republic (the)",DOM,"Dajabon, Duarte, Espaillat, La Vega, Maria Trinidad Sanches, Mensenor Nouel, Monte Cristi, Puerto Plata, Samana, Salcedo, Sanchez Ramirez, Santiago, Santiago Rodriguez, Valverde provinces",,,2000,Km2,Flood,"Coastal flood","Broken Dam/Burst ban",9,65003,42620,,2003-0571
06/12/2003,06/12/2003,"Dominican Republic (the)",DOM,"Barahona, Pedernales, Baoruco provinces",,,,Kph,Storm,"Tropical cyclone",Flood,8,10000,0,Odette,2003-0599
23/05/2004,01/06/2004,"Dominican Republic (the)",DOM,"Jimani district (Independencia province), Baoruco, Barahona, Elias Pina, Duarte, Sanchez Ramirez provinces",,,,Km2,Flood,"Riverine flood","Slide (land, mud, sn",688,10002,0,,2004-0231
02/09/2004,02/09/2004,"Dominican Republic (the)",DOM,"Azua, Baoruco, Barahona, Dajabon, Distrito Nacional, Duarte, El Seibo, Elias Pina, Espaillat, Hato Mayor, Independencia, La Altagracia, La Romana, La Vega, Maria Trinidad Sanches, Monsenor Nouel, Monte Cristi, Monte Plata, Pedernales, Peravia, Puerto Plata, Salcedo, Samana, San Cristobal, San José de Ocoa, San Juan, San Pedro de Macoris, Sanchez Ramirez, Santiago, Santiago Rodriguez, Santo Domingo, Valverde provinces",,,,Kph,Storm,"Tropical cyclone",--,0,250,0,Frances,2004-0455
09/09/2004,09/09/2004,"Dominican Republic (the)",DOM,"Azua, Baoruco, Barahona, Dajabon, Distrito Nacional, Duarte, El Seibo, Elias Pina, Espaillat, Hato Mayor, Independencia, La Altagracia, La Romana, La Vega, Maria Trinidad Sanches, Monsenor Nouel, Monte Cristi, Monte Plata, Pedernales, Peravia, Puerto Plata, Salcedo, Samana, San Cristobal, San José de Ocoa, San Juan, San Pedro de Macoris, Sanchez Ramirez, Santiago, Santiago Rodriguez, Santo Domingo, Valverde provinces",,,,Kph,Storm,"Tropical cyclone",--,4,0,1000,Ivan,2004-0462
16/09/2004,17/09/2004,"Dominican Republic (the)",DOM,"Santo Domingo, Maria Trinidad Sanches, Espaillat, Samana, Duarte, Monte Cristi, San Pedro de Macoris, El Seibo, La Romana, Azua, Hato Mayor, La Altagracia provinces",,,,Kph,Storm,"Tropical cyclone",Flood,11,14009,296000,Jeanne,2004-0473
14/05/2005,14/05/2005,"Dominican Republic (the)",DOM,"Espaillat, Maria Trinidad Sanches, Puerto Plata, Sanchez Ramirez provinces",,,,Km2,Flood,--,Rain,3,1450,0,,2005-0275
22/10/2005,24/10/2005,"Dominican Republic (the)",DOM,"Puerto Plata province",,,,Kph,Storm,"Tropical cyclone",Flood,9,1000,0,Alpha,2005-0597
11/03/2005,11/03/2005,"Dominican Republic (the)",DOM,"Bohechio, San Juan de la Maguana districts (San Juan province), San José de Las Matas district (Santiago province), San Ignacio de Sabaneta district (Santiago Rodriguez province)",,,1000,Km2,Wildfire,"Forest fire",--,0,0,0,,2005-0739
26/03/2007,30/03/2007,"Dominican Republic (the)",DOM,"Azua, Baoruco, Barahona, Dajabon, Distrito Nacional, Duarte, El Seibo, Elias Pina, Espaillat, Hato Mayor, Independencia, La Altagracia, La Romana, La Vega, Maria Trinidad Sanches, Monsenor Nouel, Monte Cristi, Monte Plata, Pedernales, Peravia, Puerto Plata, Salcedo, Samana, San Cristobal, San José de Ocoa, San Juan, San Pedro de Macoris, Sanchez Ramirez, Santiago, Santiago Rodriguez, Santo Domingo, Valverde provinces",19.41,-71.78,,Km2,Flood,"Riverine flood","Slide (land, mud, sn",3,3830,0,,2007-0134
30/05/2007,03/06/2007,"Dominican Republic (the)",DOM,"Palo Verde area (Casta??uelas district, Monte Cristi province), Arenoso, San Francisco de Macoris districts (Duarte province), Cayetano Germos?n district (Espaillat province), La Vega, Santiago, Dajabon provinces",19.55,-71.05,,Km2,Flood,"Riverine flood",--,9,16000,0,,2007-0167
21/08/2007,24/08/2007,"Dominican Republic (the)",DOM,"Azua, Barahona, Distrito Nacional, La Altagracia, La Romana, Pedernales, Peravia, San Cristobal, San Pedro de Macoris, Santiago, Santo Domingo provinces",14.64,-61.02,,Kph,Storm,"Tropical cyclone",Flood,1,1600,40000,Dean,2007-0360
28/10/2007,02/11/2007,"Dominican Republic (the)",DOM,"Santo Domingo, Distrito Nacional, San Cristobal, Peravia, Azua, Barahona, Pedernales, Independencia, Baoruco, San Juan, Santiago, Puerto Plata, Espaillat, Salcedo, Duarte, La Vega, Monte Plata, Monsenor Nouel, Hato Mayor, El Seibo, Dajabon, Monte Cristi, Santiago Rodriguez, La Altagracia, San Pedro de Macoris provinces",18.53,-70.06,,Kph,Storm,"Tropical cyclone",Flood,129,79728,77700,Noel,2007-0523
11/12/2007,17/12/2007,"Dominican Republic (the)",DOM,"Bonao city (Monsenor Nouel district, Monsenor Nouel province), Nagua district (Maria Trinidad Sanches province), Arenoso, Villa Rivas districts (Duarte province), Santiago, Barahona, La Vega, Puerto Plata, Monte Plata, El Seibo provinces",18.93,-71.03,,Kph,Storm,"Tropical cyclone",Flood,33,61605,45000,Olga,2007-0612
18/08/2008,18/08/2008,"Dominican Republic (the)",DOM,"Azua, Baoruco, Barahona, Dajabon, Distrito Nacional, Duarte, El Seibo, Elias Pina, Espaillat, Hato Mayor, Independencia, La Altagracia, La Romana, La Vega, Maria Trinidad Sanches, Monsenor Nouel, Monte Cristi, Monte Plata, Pedernales, Peravia, Puerto Plata, Salcedo, Samana, San Cristobal, San José de Ocoa, San Juan, San Pedro de Macoris, Sanchez Ramirez, Santiago, Santiago Rodriguez, Santo Domingo, Valverde provinces",,,,Kph,Storm,"Tropical cyclone",Flood,4,0,0,"Tropical Storm  ""Fay""",2008-0338
26/08/2008,26/08/2008,"Dominican Republic (the)",DOM,"Santo Domingo province",,,,Kph,Storm,"Tropical cyclone","Slide (land, mud, sn",8,6257,0,"Hurricane ""Gustav""",2008-0352
03/09/2008,03/09/2008,"Dominican Republic (the)",DOM,"Monte Cristi, Puerto Plata provinces",,,110,Kph,Storm,"Tropical cyclone",Rain,1,10745,0,"Hurricane Hanna",2008-0378
08/01/2009,16/01/2009,"Dominican Republic (the)",DOM,"Dajabon, Duarte, El Seibo, Espaillat, Hato Mayor, Maria Trinidad Sanches, Monte Cristi, Puerto Plata, Samana, Santiago Rodriguez, Valverde provinces ",19.32,-70.14,14540,Km2,Flood,"Riverine flood",--,2,4565,44000,,2009-0016
02/02/2009,12/02/2009,"Dominican Republic (the)",DOM,"Dajabon, Espaillat, La Vega, Monsenor Nouel, Monte Cristi, Puerto Plata, Santiago, Santiago Rodrigez provinces",19.28,-70.08,15150,Km2,Flood,"Riverine flood",--,5,10000,8403,,2009-0042
/01/2009,/10/2009,"Dominican Republic (the)",DOM,,,,,Vaccinated,Epidemic,"Viral disease",--,25,3270,0,Dengue,2009-0565
14/02/2010,15/02/2010,"Dominican Republic (the)",DOM,"Padre Granero, Bello Costero, Playa Oeste, Los Dominguez boroughs (Puerto Plata city, Puerto Plata district, Puerto Plata province), Las Flores area (El factor district, Maria Trinidad Sanches province), Urbanizacion General Gregorio Luperon area (Santiago district, Santiago province), Aguas Negras area (Pedernales district, Pedernales province), Los Callejones area (La Vega district, La Vega province), Padre Las Casas district (Azua province)",19.63,-70.56,2791,Km2,Flood,"Flash flood",--,1,25700,0,,2010-0067
15/07/2010,15/07/2010,"Dominican Republic (the)",DOM,"Azua, Baoruco, Barahona, Dajabon, Distrito Nacional, Duarte, El Seibo, Elias Pina, Espaillat, Hato Mayor, Independencia, La Altagracia, La Romana, La Vega, Maria Trinidad Sanches, Monsenor Nouel, Monte Cristi, Monte Plata, Pedernales, Peravia, Puerto Plata, Salcedo, Samana, San Cristobal, San José de Ocoa, San Juan, San Pedro de Macoris, Sanchez Ramirez, Santiago, Santiago Rodriguez, Santo Domingo, Valverde provinces",19.25,-70.39,15730,Km2,Flood,"Riverine flood",--,6,9500,0,,2010-0279
/12/2010,/10/2011,"Dominican Republic (the)",DOM,"Santo Domingo (Santo Domingo Norte and Este); Santiago (Navarrette, Janico, Santiago), Elias Pina (Banica), San Juan (San Juan de la Maguana), Valverde (Mao), Espaillat, La Vega",,,,Vaccinated,Epidemic,"Bacterial disease",--,130,17321,0,Cholera,2010-0557
29/10/2010,29/10/2010,"Dominican Republic (the)",DOM,"Azua, Baoruco, Barahona, Dajabon, Distrito Nacional, Duarte, El Seibo, Elias Pina, Espaillat, Hato Mayor, Independencia, La Altagracia, La Romana, La Vega, Maria Trinidad Sanches, Monsenor Nouel, Monte Cristi, Monte Plata, Pedernales, Peravia, Puerto Plata, Salcedo, Samana, San Cristobal, San José de Ocoa, San Juan, San Pedro de Macoris, Sanchez Ramirez, Santiago, Santiago Rodriguez, Santo Domingo, Valverde provinces",,,,Kph,Storm,"Tropical cyclone","Slide (land, mud, sn",0,12000,0,"Hurricane Tomas",2010-0571
/06/2011,/06/2011,"Dominican Republic (the)",DOM,"Dajabon, Monte Plata, Puerto Plata, San Cristobal, San Pedro de Macoris, Sanchez Ramirez, Santiago provinces",18.59,-71.99,1115,Km2,Flood,"Riverine flood",--,4,11200,0,,2011-0199
04/08/2011,04/08/2011,"Dominican Republic (the)",DOM,"Azua, Baoruco, Barahona, Dajabon, Distrito Nacional, Duarte, El Seibo, Elias Pina, Espaillat, Hato Mayor, Independencia, La Altagracia, La Romana, La Vega, Maria Trinidad Sanches, Monsenor Nouel, Monte Cristi, Monte Plata, Pedernales, Peravia, Puerto Plata, Salcedo, Samana, San Cristobal, San José de Ocoa, San Juan, San Pedro de Macoris, Sanchez Ramirez, Santiago, Santiago Rodriguez, Santo Domingo, Valverde provinces",,,,Kph,Storm,"Tropical cyclone",--,3,7000,0,"Tropical storm ""Emily""",2011-0303
24/08/2011,24/08/2011,"Dominican Republic (the)",DOM,"San José de Ocoa, Peravia, San Cristobal, Santo Domingo provinces",,,,Kph,Storm,"Tropical cyclone",Flood,4,37000,30000,"Hurricane Irene",2011-0328
07/12/2011,14/12/2011,"Dominican Republic (the)",DOM,"Bonao municipality",,,,Vaccinated,Epidemic,"Bacterial disease",--,1,220,0,Cholera,2011-0528
23/04/2012,25/04/2012,"Dominican Republic (the)",DOM,"Puerto Plata province",,,,Km2,Flood,"Riverine flood",--,0,11500,0,,2012-0114
12/04/2012,16/04/2012,"Dominican Republic (the)",DOM,"Tambori (Santiago province); San Victor, Moca (Espaillat); Puerto Plata, la Vega, Valverde, Montecristi, Duarrte",,,,Vaccinated,Epidemic,"Bacterial disease",--,167,26090,0,Cholera,2012-0167
07/05/2012,07/05/2012,"Dominican Republic (the)",DOM,"Santiago province",,,,Km2,Flood,"Riverine flood",--,0,3070,0,,2012-0236
25/08/2012,25/08/2012,"Dominican Republic (the)",DOM,"Azua, Monte Plata, Sanchez Ramirez, Barahona, San José de Ocoa provinces",,,,Kph,Storm,"Tropical cyclone",--,5,20515,0,"Hurricane Isaac",2012-0313
24/10/2012,24/10/2012,"Dominican Republic (the)",DOM,"Azua, Barahona, San Cristobal, Santo Domingo, Duarte, Monte Plata, Peravia, San Juan, San José de Ocoa, Distrito Nacional provinces",,,,Kph,Storm,"Tropical cyclone",--,3,22000,30000,"Hurricane Sandy",2012-0410
23/12/2013,25/12/2013,"Dominican Republic (the)",DOM,"Azua, Baoruco, Barahona, Dajabon, Distrito Nacional, Duarte, El Seibo, Elias Pina, Espaillat, Hato Mayor, Independencia, La Altagracia, La Romana, La Vega, Maria Trinidad Sanches, Monsenor Nouel, Monte Cristi, Monte Plata, Pedernales, Peravia, Puerto Plata, Salcedo, Samana, San Cristobal, San José de Ocoa, San Juan, San Pedro de Macoris, Sanchez Ramirez, Santiago, Santiago Rodriguez, Santo Domingo, Valverde provinces",,,,Km2,Flood,"Riverine flood","Slide (land, mud, sn",0,0,102,,2013-0531
03/11/2014,05/11/2014,"Dominican Republic (the)",DOM,"Azua, Baoruco, Barahona, Dajabon, Distrito Nacional, Duarte, El Seibo, Elias Pina, Espaillat, Hato Mayor, Independencia, La Altagracia, La Romana, La Vega, Maria Trinidad Sanches, Monsenor Nouel, Monte Cristi, Monte Plata, Pedernales, Peravia, Puerto Plata, Salcedo, Samana, San Cristobal, San José de Ocoa, San Juan, San Pedro de Macoris, Sanchez Ramirez, Santiago, Santiago Rodriguez, Santo Domingo, Valverde provinces",,,,Km2,Flood,"Flash flood",--,1,300,0,,2014-0453
20/02/2015,24/02/2015,"Dominican Republic (the)",DOM,"Espaillat, Puerto Plata, Duarte, Salcedo, Sanchez Ramirez, Maria Trinidad Sanches provinces",,,,Km2,Flood,"Flash flood",--,2,20950,0,,2015-0060
28/08/2015,28/08/2015,"Dominican Republic (the)",DOM,"Azua, Baoruco, Barahona, Dajabon, Distrito Nacional, Duarte, El Seibo, Elias Pina, Espaillat, Hato Mayor, Independencia, La Altagracia, La Romana, La Vega, Maria Trinidad Sanches, Monsenor Nouel, Monte Cristi, Monte Plata, Pedernales, Peravia, Puerto Plata, Salcedo, Samana, San Cristobal, San José de Ocoa, San Juan, San Pedro de Macoris, Sanchez Ramirez, Santiago, Santiago Rodriguez, Santo Domingo, Valverde provinces",,,,Kph,Storm,"Tropical cyclone",--,0,2133,0,"Hurricane Erika",2015-0375
22/09/2015,29/09/2015,"Dominican Republic (the)",DOM,"Santiago district (Santiago province)",,,,Km2,Flood,"Riverine flood",--,0,250,0,,2015-0446
07/05/2016,08/05/2016,"Dominican Republic (the)",DOM,"Santo Domingo, La Romana cities",,,,Km2,Flood,--,--,0,0,0,,2016-0184
03/10/2016,04/10/2016,"Dominican Republic (the)",DOM,"Azua, San José de Ocoa, San Juan de la Maguana, Pedernales, Barahona, Independencia, Dajabon, Monte Cristi, Bahoruco, Elias Pina, San Cristobal, Peravia, Santiago Rodriguez, Puerto Plata, Valverde, Santo Domingo, Distrito Nacional, Monsenor Noel, Sanchez Ramirez, Monte Plata, La Vega",,,,Kph,Storm,"Extra-tropical storm",--,0,0,0,"Hurricane Matthew",2016-0355
07/11/2016,10/11/2016,"Dominican Republic (the)",DOM,"Cabrera district (María Trinidad Sánches province), Luperón, Guananico districts, Cabecera-Cabarete (Puerto Plata province), Gaspar Hernandez district (Espaillat province), La Vega, Monte Cristi, Santiago (Jaico), Valverde, Duarte (Villa Riva, Los Peinados and Los Contreras communities), Hato Mayor, El Seibo provinces",18.92,-70.125,,Km2,Flood,"Riverine flood","Slide (land, mud, sn",15,2792000,0,,2016-0423
20/04/2017,23/04/2017,"Dominican Republic (the)",DOM,"Santo Domingo, San Cristóbal, Monte Plata, Sánchez Ramírez, Duarte and Barahona provinces",,,,Kph,Storm,--,--,0,10287,0,,2017-0137
06/09/2017,06/09/2017,"Dominican Republic (the)",DOM,"Veron, Higuey (La Altagracia), Samaná (Galera), La Romana, Puerto Plata (Motellano, Sabaneta de yasica); San Cristobal, Peravia, San José de Ocoa, Azua, Santiago (Santiago), Valverde (Mao, Esperanza), Monte cristi (Montecristi), Dajabón, Espaillat (Gaspar Hernandez), Maria Trinidad Sanchez",,,285,Kph,Storm,"Tropical cyclone",Flood,0,6300,0,"Hurricane 'Irma'",2017-0381
20/09/2017,20/09/2017,"Dominican Republic (the)",DOM,"La Altagracia, El Seibo, Hato Mayor, Samaná, Espaillat, María Trinidad Sánchez, Puerto Plata, Santiago, Sánchez Ramírez, Monseñor Nouel, La Romana, Montecristi, Duarte, San Juan, Valverde, Dajabón, Santiago Rodríguez, San Pedro de Macorís, Hermanas Mirabal (Salcedo), La Vega",,,,Kph,Storm,"Tropical cyclone",Flood,2,26000,0,"Hurricane 'Maria'",2017-0383
04/05/1904,04/05/1904,Ecuador,ECU,"Fuerte Temblor en Loja","3.59 S","79.16 W",7,Richter,Earthquake,"Ground movement",--,0,0,0,,1904-0005
31/01/1906,31/01/1906,Ecuador,ECU,"Costa de Esmeraldas","0.56 N","79.40 W",7,Richter,Earthquake,"Ground movement",--,0,0,0,,1906-0017
03/03/1924,03/03/1924,Ecuador,ECU,Chimborazo,"1.29 S","78.52 W",,Richter,Earthquake,"Ground movement",--,40,0,0,,1924-0005
14/02/1931,14/02/1931,Ecuador,ECU,Huigra,,,,,Landslide,Landslide,--,190,0,0,,1931-0005
14/05/1942,14/05/1942,Ecuador,ECU,"Guayas province","1.29 S","78.52 W",,Richter,Earthquake,"Ground movement",--,200,0,0,,1942-0001
05/08/1949,05/08/1949,Ecuador,ECU,"Pelileo, Ambato","1.24 ","78.30 W",6.8,Richter,Earthquake,"Ground movement","Slide (land, mud, sn",6000,100000,20000,,1949-0010
/04/1950,/04/1950,Ecuador,ECU,,,,,Km2,Flood,--,--,50,0,0,,1950-0023
/03/1953,/03/1953,Ecuador,ECU,,,,,Km2,Flood,--,--,71,0,0,,1953-0039
/03/1964,//1964,Ecuador,ECU,,,,,Km2,Drought,Drought,--,0,600000,0,,1964-9006
/04/1965,/04/1965,Ecuador,ECU,"Daule river Valley",,,,Km2,Flood,--,--,0,50000,4000,,1965-0018
15/05/1966,15/05/1966,Ecuador,ECU,"Quito-Santo Domingo road",,,,,Landslide,Landslide,--,50,0,0,,1966-0043
08/02/1967,08/02/1967,Ecuador,ECU,Milagro,,,,Km2,Flood,--,--,0,20500,100,,1967-0019
/08/1967,/08/1967,Ecuador,ECU,"Guayaquil areas",,,,Vaccinated,Epidemic,"Viral disease",--,36,528,0,Polio,1967-0053
/05/1969,/05/1969,Ecuador,ECU,"Playas area",,,,Vaccinated,Epidemic,"Viral disease",--,400,40000,0,"Equine encephalitis",1969-0068
08/04/1970,08/04/1970,Ecuador,ECU,"Guayas, Emeral, Manabi",,,,Km2,Flood,--,--,20,140500,500,,1970-0023
/11/1970,/11/1970,Ecuador,ECU,"Imbabura province, Guayas provinces",,,,Km2,Flood,--,--,0,10100,20,,1970-0062
09/12/1970,09/12/1970,Ecuador,ECU,"Loja province","3.59 S","79.16 W",,Richter,Earthquake,"Ground movement",--,29,88112,4000,,1970-0067
09/03/1971,09/03/1971,Ecuador,ECU,Quito,,,,,Landslide,Landslide,--,20,6,0,,1971-0019
/07/1971,/07/1971,Ecuador,ECU,"Putumayo river, North East",,,,Km2,Flood,--,--,0,2400,50,,1971-0040
/02/1973,/02/1973,Ecuador,ECU,,,,15000,Km2,Flood,--,--,0,30000,0,,1973-0111
/04/1973,/04/1973,Ecuador,ECU,,,,,,Landslide,Landslide,--,25,0,0,,1973-0126
08/07/1975,08/07/1975,Ecuador,ECU,"El Sangay",,,,,"Volcanic activity","Ash fall",--,0,0,0,"El Sangay",1975-0041
/12/1975,/12/1975,Ecuador,ECU,Cotapaxi,,,,,"Volcanic activity","Ash fall",--,0,0,0,,1975-0147
11/02/1976,11/02/1976,Ecuador,ECU,Esmeraldas,,,,,Landslide,Landslide,--,60,0,0,,1976-0025
09/04/1976,09/04/1976,Ecuador,ECU,Esmeraldas,"0.56 N","79.40 W",,Richter,Earthquake,"Ground movement",--,10,0,4000,,1976-0033
04/10/1976,04/10/1976,Ecuador,ECU,"Cotopaxi   Pinchincha province","0.14 S","78.30 W",,Richter,Earthquake,"Ground movement",--,10,20000,0,,1976-0068
/12/1976,/12/1976,Ecuador,ECU,Cotopaxi,-0.677,-78.436,,,"Volcanic activity","Ash fall",--,1,25000,0,Cotopaxi,1976-0077
01/01/1977,01/01/1977,Ecuador,ECU,"West portions of Quito",,,,Vaccinated,Epidemic,"Bacterial disease",--,0,300,0,Typhoid,1977-0001
18/08/1980,18/08/1980,Ecuador,ECU,Guayaquil,"2.13 S","79.54 W",5.6,Richter,Earthquake,"Ground movement",--,8,40,0,,1980-0081
/11/1982,/07/1983,Ecuador,ECU,Coast,,,,Km2,Flood,--,--,307,700000,232100,,1982-0116
27/04/1983,27/04/1983,Ecuador,ECU,Chimborazo,,,,,Landslide,Landslide,--,100,0,0,,1983-0073
04/08/1983,04/08/1983,Ecuador,ECU,,,,,Km2,Flood,--,--,0,200000,0,,1983-0464
28/02/1985,28/02/1985,Ecuador,ECU,"Isabela IsL, Gualapagos",,,300,Km2,Wildfire,"Land fire (Brush, Bush, Pastur",--,0,800,0,,1985-0035
05/03/1987,05/03/1987,Ecuador,ECU,"Carchi, Imbabura, Pastaza, Napo provinces","0.151 N","77.821 W",6.9,Richter,Earthquake,"Ground movement","Slide (land, mud, sn",5000,150000,1500000,,1987-0070
03/04/1987,03/04/1987,Ecuador,ECU,Cochancay,,,,,Landslide,Mudslide,--,100,6000,0,,1987-0082
22/09/1987,22/09/1987,Ecuador,ECU,"Ambato (Tungurahua province)","1.18 S","78.39 W",6,Richter,Earthquake,"Ground movement","Slide (land, mud, sn",2,6,0,,1987-0162
/02/1987,/02/1987,Ecuador,ECU,Chone,,,,Km2,Flood,--,--,0,10000,0,,1987-0310
/06/1989,/06/1989,Ecuador,ECU,,,,,Km2,Flood,"Riverine flood",--,35,30000,15000,,1989-0256
11/08/1990,11/08/1990,Ecuador,ECU,"Quito, Pomasqui","0.259 S","78.449 W",5,Richter,Earthquake,"Ground movement","Slide (land, mud, sn",4,6510,0,,1990-0230
13/06/1991,13/06/1991,Ecuador,ECU,"Azuay, Chimborazo, El Oro, Esmeraldas, Guayas, Imbabura, Loja, Los Rios, Pichincha, Arci, Manabi, Canar, Bolivar, Tunguraha",,,,Vaccinated,Epidemic,"Bacterial disease",--,343,15131,0,Cholera,1991-0138
24/03/1992,08/05/1992,Ecuador,ECU,"Guayas, Manabi, El Oro, Los Rios, Esmeraldas, Tungurahua, Cotopaxi, Loja, Zamora, Chinchipe, Galapagos, Chinchippe.",,,550,Km2,Flood,"Riverine flood",--,22,205000,20000,,1992-0024
/01/1992,/01/1992,Ecuador,ECU,,,,,Vaccinated,Epidemic,"Bacterial disease",--,200,0,0,Cholera,1992-0460
09/05/1993,09/05/1993,Ecuador,ECU,"Ambija (Zamora province)",,,,,Landslide,Landslide,--,250,45,0,,1993-0013
28/03/1993,03/04/1993,Ecuador,ECU,"Azuay, Canar provinces",,,,,Landslide,Landslide,--,200,75020,500000,,1993-0014
10/11/1993,10/11/1993,Ecuador,ECU,Chimborazo,,,,,Landslide,Avalanche,--,10,0,0,,1993-0586
11/04/1994,11/04/1994,Ecuador,ECU,"Santa Isabela Is. (Galapagos)",,,80,Km2,Wildfire,"Forest fire",--,0,0,0,,1994-0042
